Solution - 147	25	110	6	0	2	[0, 3, 4, 10, 5, 3, 4, 1, 10, 2, 1, 2, 5, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 162	26	109	9	0	3	[0, 5, 10, 4, 3, 3, 10, 4, 6, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 148	29	119	0	1	3	[0, 5, 4, 3, 3, 4, 10, 10, 6, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 152	28	124	0	0	3	[0, 3, 4, 4, 3, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 1, 10, 5, 2, 10, 6, 5, 2, 1, 6, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 149	29	120	0	0	3	[0, 5, 10, 4, 3, 3, 4, 1, 10, 5, 6, 1, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 2, 0]
Solution - 143	27	116	0	0	3	[0, 3, 4, 4, 3, 0, 0, 2, 1, 10, 5, 10, 6, 5, 2, 1, 6, 0, 0, 8, 9, 7, 7, 8, 9, 0]
Solution - 145	25	108	6	0	2	[0, 3, 4, 10, 5, 4, 10, 3, 2, 6, 5, 1, 2, 1, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
