Solution - 148	29	119	0	1	3	[0, 5, 4, 3, 3, 4, 10, 10, 6, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 148	29	119	0	1	3	[0, 5, 4, 3, 3, 4, 10, 10, 6, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 1, 2, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 151	22	97	16	0	2	[0, 10, 5, 4, 3, 4, 3, 10, 5, 6, 1, 2, 2, 1, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0]
Solution - 161	31	130	0	0	3	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 6, 6, 0]
Solution - 144	27	117	0	0	3	[0, 4, 3, 3, 4, 0, 0, 2, 1, 10, 5, 10, 6, 5, 2, 1, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 144	27	117	0	0	3	[0, 4, 3, 3, 4, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 10, 5, 10, 6, 5, 2, 1, 6, 0]
Solution - 147	29	118	0	1	3	[0, 5, 4, 3, 3, 4, 10, 10, 6, 5, 6, 0, 0, 8, 9, 7, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 144	27	117	0	0	3	[0, 4, 3, 3, 4, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 10, 5, 10, 6, 5, 2, 1, 6, 0]
Solution - 144	27	117	0	0	3	[0, 4, 3, 3, 4, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 10, 5, 10, 6, 5, 1, 2, 6, 0]
Solution - 156	30	126	0	0	3	[0, 10, 3, 4, 4, 3, 5, 6, 10, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 1, 2, 1, 2, 0]
Solution - 173	34	139	0	0	4	[0, 5, 4, 3, 3, 4, 10, 10, 5, 0, 0, 6, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 148	29	119	0	1	3	[0, 5, 4, 3, 3, 4, 10, 10, 6, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 148	29	119	0	1	3	[0, 5, 4, 3, 3, 4, 10, 10, 6, 5, 6, 0, 0, 2, 1, 2, 1, 0, 0, 7, 8, 9, 7, 8, 9, 0]
Solution - 157	31	126	0	0	3	[0, 5, 4, 3, 6, 3, 4, 10, 10, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
Solution - 144	27	117	0	0	3	[0, 4, 3, 3, 4, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 1, 2, 10, 5, 10, 6, 5, 1, 2, 6, 0]
Solution - 157	31	126	0	0	3	[0, 5, 4, 3, 6, 3, 4, 10, 10, 5, 6, 0, 0, 7, 8, 9, 7, 8, 9, 0, 0, 2, 1, 2, 1, 0]
